Name,Tooth ID,Day 0,Day 30,Day 60,Rostral_0,Buccal_0,Distal_0,Palatal_0,Gingival Recession_0,Bleeding Assessment_0,Aver_Day0,Rostral_30,Buccal_30,Distal_30,Palatal_30,Gingival Recession_30,Bleeding Assessment_30,Aver_Day30,Rostral_60,Buccal_60,Distal_60,Palatal_60,Gingival Recession_60,Bleeding Assessment_60,Aver_Day60
Kobe,404,0,30,60,3,3,3,4,0,2,3.25,3,3,3,3,0,2,3,2,3,3,3,0,2,2.75
Kobe,403,0,30,60,4,3,3,4,0,2,3.5,4,2,3,4,0,2,3.25,4,1,2,3,0,2,2.5
Kobe,402,0,30,60,3,1,3,3,0,2,2.5,3,1,3,3,0,0,2.5,1,1,2,2,0,0,1.5
Kobe,401,0,30,60,,,,,,,0,,,,,,,0,,,,,,,0
Kobe,301,0,30,60,4,1,2,3,0,0,2.5,4,1,2,3,0,0,2.5,3,1,2,3,0,0,2.25
Kobe,302,0,30,60,3,1,2,3,0,2,2.25,3,1,2,3,0,0,2.25,3,1,2,3,0,0,2.25
Kobe,303,0,30,60,3,3,4,5,0,2,3.75,3,3,3,4,0,2,3.25,3,3,3,4,0,2,3.25
Kobe,304,0,30,60,3,3,4,5,0,2,3.75,3,3,4,3,0,2,3.25,2,2,3,3,0,2,2.5
Kobe,305,0,30,60,3,3,3,3,0,2,3,1,2,3,3,0,2,2.25,1,2,3,3,0,2,2.25
Kobe,306,0,30,60,4,1,3,3,0,2,2.75,3,1,2,3,0,2,2.25,3,1,1,3,0,2,2
Kobe,307,0,30,60,3,1,3,3,0,2,2.5,3,1,3,3,0,2,2.5,2,1,3,3,0,2,2.25
Kobe,308,0,30,60,3,1,3,3,0,2,2.5,3,1,3,3,0,2,2.5,1,1,3,3,0,2,2
Kobe,309,0,30,60,2,1,3,2,0,2,2,2,1,3,1,0,2,1.75,2,1,2,1,0,2,1.5
Kobe,310,0,30,60,1,2,3,1,0,2,1.75,1,2,3,1,0,2,1.75,1,2,3,1,0,2,1.75
Kobe,311,0,30,60,1,1,1,1,0,2,1,1,1,1,1,0,2,1,1,1,1,1,0,0,1
Simba,110,0,30,60,2,2,2,3,0,2,2.25,2,1,1,3,0,2,1.75,1,1,1,3,0,2,1.5
Simba,109,0,30,60,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,0
Simba,108,0,30,60,3,4,3,4,1,2,3.5,2,3,3,4,1,2,3,2,3,3,4,0,2,3
Simba,107,0,30,60,2,1,1,3,1,2,1.75,1,1,1,3,0,2,1.5,1,1,1,3,0,2,1.5
Simba,106,0,30,60,,,,,,,0,,,,,,,0,,,,,,,0
