Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
BLUE,208,0,1,4,1,2,0,2
BLUE,208,30,1,4,3,2,0,2
BLUE,208,60,3,4,3,3,0,2
BLUE,209,0,3,3,2,1,0,2
BLUE,209,30,3,3,3,2,0,2
BLUE,209,60,4,3,3,3,0,2
BLUE,210,0,2,2,1,1,0,2
BLUE,210,30,1,1,2,2,0,2
BLUE,210,60,2,2,2,2,0,2
BLUE,411,0,1,1,1,1,0,2
BLUE,411,30,2,1,1,1,0,2
BLUE,411,60,2,2,1,2,0,2
BLUE,410,0,1,2,2,1,0,2
BLUE,410,30,2,2,2,2,0,2
BLUE,410,60,2,2,2,2,0,2
BLUE,409,0,2,1,2,1,0,2
BLUE,409,30,3,2,3,1,0,2
BLUE,409,60,3,3,3,2,0,2
BLUE,408,0,3,1,4,4,0,2
BLUE,408,30,3,2,5,4,0,2
BLUE,408,60,3,2,5,4,0,2
BLUE,407,0,1,4,2,4,1,2
BLUE,407,30,1,4,3,4,1,2
BLUE,407,60,1,4,3,5,1,2
BLUE,406,0,2,1,2,1,0,2
BLUE,406,30,2,1,1,1,0,2
BLUE,406,60,2,1,1,2,0,2
BLUE,405,0,1,1,2,1,0,2
BLUE,405,30,3,2,3,1,0,0
BLUE,405,60,3,3,3,3,0,2
BLUE,404,0,2,2,1,2,0,2
BLUE,404,30,2,2,2,4,0,2
BLUE,404,60,3,3,3,4,0,2
BLUE,403,0,1,1,2,4,0,2
BLUE,403,30,1,1,3,4,0,2
BLUE,403,60,2,1,3,4,0,2
BLUE,402,0,2,1,2,2,0,2
BLUE,402,30,2,1,3,2,0,2
BLUE,402,60,3,1,3,2,0,2
BLUE,401,0,,,,,,
BLUE,401,30,,,,,,
BLUE,401,60,,,,,,
BLUE,301,0,3,1,4,1,1,2
BLUE,301,30,3,2,4,2,0,2
BLUE,301,60,3,2,4,2,0,2
BLUE,302,0,4,2,4,2,0,2
BLUE,302,30,4,2,4,3,0,2
BLUE,302,60,4,3,4,3,0,2
BLUE,303,0,3,1,3,4,0,2
BLUE,303,30,3,1,4,4,0,2
BLUE,303,60,4,2,4,5,0,2
BLUE,304,0,3,1,2,2,0,2
BLUE,304,30,3,1,2,3,0,2
BLUE,304,60,2,2,3,4,0,2
BLUE,305,0,1,1,1,1,0,2
BLUE,305,30,2,2,3,2,0,2
BLUE,305,60,2,2,3,3,0,2
BLUE,306,0,1,1,1,2,0,2
BLUE,306,30,1,1,1,2,0,2
BLUE,306,60,1,1,3,2,0,2
BLUE,307,0,1,1,1,1,0,2
BLUE,307,30,2,1,2,1,0,2
BLUE,307,60,2,1,2,1,0,2
BLUE,308,0,1,1,2,2,0,2
BLUE,308,30,1,1,3,3,0,2
BLUE,308,60,1,1,3,3,0,2
BLUE,309,0,1,1,1,1,0,2
BLUE,309,30,3,1,1,1,0,2
BLUE,309,60,3,1,1,1,0,2
BLUE,310,0,1,1,3,1,0,2
BLUE,310,30,1,2,4,2,0,2
BLUE,310,60,1,4,4,2,0,2
BLUE,311,0,1,1,1,1,0,2
BLUE,311,30,1,1,1,1,0,0
BLUE,311,60,1,1,1,1,0,0
BRUNO,110,0,1,1,1,1,0,2
BRUNO,110,30,2,1,1,2,0,2
BRUNO,110,60,2,2,2,2,0,2
BRUNO,109,0,1,1,2,1,0,2
BRUNO,109,30,1,1,2,1,0,2
BRUNO,109,60,2,2,2,1,0,2
BRUNO,108,0,3,1,1,1,0,2
BRUNO,108,30,3,1,1,1,0,2
BRUNO,108,60,3,2,2,2,0,2
BRUNO,107,0,1,1,3,1,0,2
BRUNO,107,30,3,1,3,1,0,2
BRUNO,107,60,3,1,3,2,0,2
BRUNO,106,0,1,1,1,2,0,2
BRUNO,106,30,1,1,1,3,0,2
BRUNO,106,60,1,1,2,3,0,2
BRUNO,105,0,1,1,1,1,0,2
BRUNO,105,30,1,1,2,2,0,2
BRUNO,105,60,1,1,3,2,0,2
BRUNO,104,0,3,1,2,1,0,2
BRUNO,104,30,3,1,2,1,0,2
BRUNO,104,60,3,3,2,1,0,2
BRUNO,103,0,1,1,1,1,0,2
BRUNO,103,30,3,2,1,1,0,1
BRUNO,103,60,4,2,1,1,0,2
BRUNO,102,0,1,1,1,1,0,2
BRUNO,102,30,1,1,2,1,0,0
BRUNO,102,60,1,1,3,1,0,2
BRUNO,101,0,1,1,1,1,0,2
BRUNO,101,30,1,1,1,2,0,0
BRUNO,101,60,1,1,3,2,0,2
BRUNO,201,0,1,1,1,1,0,2
BRUNO,201,30,1,1,1,1,0,2
BRUNO,201,60,1,1,1,2,0,2
BRUNO,202,0,1,1,1,1,0,2
BRUNO,202,30,2,1,1,1,0,2
BRUNO,202,60,2,1,1,1,0,2
BRUNO,203,0,1,1,1,1,0,2
BRUNO,203,30,1,1,1,1,0,2
BRUNO,203,60,1,1,1,3,0,2
BRUNO,204,0,1,1,2,1,0,2
BRUNO,204,30,3,1,2,1,0,2
BRUNO,204,60,3,3,3,2,0,2
BRUNO,205,0,1,1,1,1,0,2
BRUNO,205,30,1,1,1,1,0,2
BRUNO,205,60,2,2,2,3,0,2
BRUNO,206,0,1,1,1,1,0,2
BRUNO,206,30,1,1,1,1,0,2
BRUNO,206,60,3,2,3,3,0,2
BRUNO,207,0,1,1,3,1,0,2
BRUNO,207,30,3,1,3,2,0,2
BRUNO,207,60,3,1,3,2,0,2
BRUNO,208,0,3,1,1,1,0,2
BRUNO,208,30,3,1,1,2,0,2
BRUNO,208,60,3,3,3,2,0,1
