,name,tooth_ID,day_0,day_30,day_60,rostral_day0,buccal_day0,distal_day0,palatal_day0,gingival_recession_day0,bledding_assesment_day0,aver_day0,rostral_day30,buccal_day30,distal_day30,palatal_day30,gingival_recession_day30,bleeding_assesment_day30,aver_day30,rostral_day60,buccal_day60,distal_day60,palatal_day60,gingival_recession_day60,bledding_assesment_day60,aver_day60
60,Baby,209,0,30,60,3.0,3.0,2.0,4.0,0.0,2.0,3.0,4.0,4.0,3.0,4.0,0.0,2.0,3.75,4.0,4.0,4.0,4.0,0.0,2.0,4.0
61,Baby,210,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
62,Baby,411,0,30,60,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
63,Baby,410,0,30,60,1.0,2.0,2.0,1.0,0.0,2.0,1.5,3.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,2.0,2.25
64,Baby,409,0,30,60,4.0,3.0,3.0,1.0,0.0,2.0,2.75,4.0,3.0,3.0,2.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,0.0,2.0,3.25
65,Baby,408,0,30,60,2.0,4.0,4.0,2.0,0.0,2.0,3.0,2.0,5.0,4.0,3.0,0.0,2.0,3.5,2.0,5.0,4.0,3.0,0.0,2.0,3.5
66,Baby,407,0,30,60,2.0,1.0,2.0,2.0,0.0,2.0,1.75,3.0,2.0,3.0,4.0,0.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,2.0,3.25
67,Baby,406,0,30,60,3.0,3.0,3.0,2.0,0.0,2.0,2.75,4.0,3.0,3.0,3.0,0.0,2.0,3.25,4.0,3.0,4.0,3.0,0.0,2.0,3.5
68,Baby,405,0,30,60,3.0,3.0,3.0,2.0,0.0,2.0,2.75,4.0,3.0,4.0,3.0,0.0,2.0,3.5,4.0,3.0,4.0,4.0,0.0,2.0,3.75
69,Baby,404,0,30,60,5.0,4.0,4.0,4.0,0.0,2.0,4.25,5.0,4.0,4.0,6.0,0.0,2.0,4.75,6.0,4.0,4.0,6.0,0.0,2.0,5.0
70,Baby,403,0,30,60,3.0,3.0,5.0,4.0,1.0,2.0,3.75,4.0,4.0,4.0,9.0,1.0,2.0,5.25,4.0,4.0,4.0,9.0,1.0,2.0,5.25
71,Baby,402,0,30,60,4.0,1.0,4.0,3.0,0.0,2.0,3.0,4.0,2.0,4.0,4.0,0.0,2.0,3.5,4.0,2.0,4.0,4.0,0.0,2.0,3.5
72,Baby,401,0,30,60,5.0,5.0,5.0,1.0,1.0,2.0,4.0,6.0,6.0,6.0,4.0,1.0,2.0,5.5,6.0,6.0,6.0,5.0,1.0,2.0,5.75
73,Baby,301,0,30,60,5.0,4.0,5.0,4.0,1.0,2.0,4.5,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0
74,Baby,302,0,30,60,4.0,1.0,2.0,4.0,0.0,2.0,2.75,4.0,2.0,4.0,4.0,0.0,2.0,3.5,4.0,2.0,4.0,4.0,0.0,0.0,3.5
75,Baby,303,0,30,60,4.0,3.0,4.0,4.0,0.0,2.0,3.75,4.0,4.0,5.0,4.0,0.0,2.0,4.25,4.0,4.0,5.0,4.0,0.0,2.0,4.25
76,Baby,304,0,30,60,5.0,3.0,4.0,4.0,0.0,2.0,4.0,5.0,4.0,4.0,4.0,0.0,2.0,4.25,5.0,4.0,4.0,5.0,0.0,2.0,4.5
77,Baby,305,0,30,60,2.0,1.0,1.0,1.0,0.0,2.0,1.25,3.0,3.0,2.0,2.0,0.0,2.0,2.5,3.0,3.0,3.0,2.0,0.0,2.0,2.75
78,Baby,306,0,30,60,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,3.0,0.0,2.0,2.75,4.0,3.0,3.0,4.0,0.0,2.0,3.5
79,Baby,307,0,30,60,3.0,2.0,3.0,5.0,0.0,2.0,3.25,3.0,2.0,4.0,4.0,0.0,2.0,3.25,3.0,2.0,4.0,4.0,0.0,2.0,3.25
80,Baby,308,0,30,60,3.0,3.0,4.0,3.0,0.0,2.0,3.25,3.0,4.0,5.0,4.0,0.0,2.0,4.0,3.0,4.0,6.0,4.0,0.0,2.0,4.25
81,Baby,309,0,30,60,3.0,1.0,3.0,1.0,0.0,2.0,2.0,4.0,2.0,4.0,1.0,0.0,2.0,2.75,4.0,2.0,4.0,1.0,0.0,2.0,2.75
82,Baby,310,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
83,Baby,311,0,30,60,2.0,2.0,1.0,2.0,0.0,2.0,1.75,4.0,2.0,2.0,2.0,0.0,2.0,2.5,4.0,2.0,2.0,4.0,0.0,2.0,3.0
84,Maddie,110,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
85,Maddie,109,0,30,60,1.0,3.0,3.0,2.0,0.0,2.0,2.25,2.0,3.0,3.0,2.0,0.0,2.0,2.5,3.0,3.0,3.0,2.0,0.0,2.0,2.75
86,Maddie,108,0,30,60,3.0,2.0,2.0,3.0,0.0,2.0,2.5,3.0,3.0,3.0,3.0,0.0,2.0,3.0,4.0,3.0,3.0,3.0,0.0,2.0,3.25
87,Maddie,107,0,30,60,2.0,1.0,2.0,1.0,0.0,2.0,1.5,3.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0
88,Maddie,106,0,30,60,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,1.75,3.0,1.0,2.0,1.0,0.0,2.0,1.75
