Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
Kobe,407,60,3,1,1,2,0,2
Kobe,406,0,3,1,2,2,0,2
Kobe,406,30,3,1,2,2,0,2
Kobe,406,60,3,1,2,1,0,2
Kobe,405,0,3,2,3,3,0,2
Kobe,405,30,3,2,3,2,0,2
Kobe,405,60,2,1,3,2,0,1
Kobe,404,0,3,3,3,4,0,2
Kobe,404,30,3,3,3,3,0,2
Kobe,404,60,2,3,3,3,0,2
Kobe,403,0,4,3,3,4,0,2
Kobe,403,30,4,2,3,4,0,2
Kobe,403,60,4,1,2,3,0,2
Kobe,402,0,3,1,3,3,0,2
Kobe,402,30,3,1,3,3,0,0
Kobe,402,60,1,1,2,2,0,0
Kobe,401,0,,,,,,
Kobe,401,30,,,,,,
Kobe,401,60,,,,,,
Kobe,301,0,4,1,2,3,0,0
Kobe,301,30,4,1,2,3,0,0
Kobe,301,60,3,1,2,3,0,0
Kobe,302,0,3,1,2,3,0,2
Kobe,302,30,3,1,2,3,0,0
Kobe,302,60,3,1,2,3,0,0
Kobe,303,0,3,3,4,5,0,2
Kobe,303,30,3,3,3,4,0,2
Kobe,303,60,3,3,3,4,0,2
Kobe,304,0,3,3,4,5,0,2
Kobe,304,30,3,3,4,3,0,2
Kobe,304,60,2,2,3,3,0,2
Kobe,305,0,3,3,3,3,0,2
Kobe,305,30,1,2,3,3,0,2
Kobe,305,60,1,2,3,3,0,2
Kobe,306,0,4,1,3,3,0,2
Kobe,306,30,3,1,2,3,0,2
Kobe,306,60,3,1,1,3,0,2
Kobe,307,0,3,1,3,3,0,2
Kobe,307,30,3,1,3,3,0,2
Kobe,307,60,2,1,3,3,0,2
Kobe,308,0,3,1,3,3,0,2
Kobe,308,30,3,1,3,3,0,2
Kobe,308,60,1,1,3,3,0,2
Kobe,309,0,2,1,3,2,0,2
Kobe,309,30,2,1,3,1,0,2
Kobe,309,60,2,1,2,1,0,2
Kobe,310,0,1,2,3,1,0,2
Kobe,310,30,1,2,3,1,0,2
Kobe,310,60,1,2,3,1,0,2
Kobe,311,0,1,1,1,1,0,2
Kobe,311,30,1,1,1,1,0,2
Kobe,311,60,1,1,1,1,0,0
Simba,110,0,2,2,2,3,0,2
Simba,110,30,2,1,1,3,0,2
Simba,110,60,1,1,1,3,0,2
Simba,109,0,,,,,,
Simba,109,30,,,,,,
Simba,109,60,,,,,,
